Fecha,Hora,Equipo,Rival,Minuto,Parcial,Fecha ref
1996-11-24,17:00:00,Boca Jrs.,Huracan,82,6-0,2022-11-24
1996-12-18,17:00:00,Boca Jrs.,Rosario Central,17,1-1,2022-12-18
1997-04-20,17:00:00,Boca Jrs.,V�lez,3,1-0,2022-04-20
1997-08-10,17:00:00,Boca Jrs.,Rosario Central,90,4-3,2022-08-10
1998-08-09,17:00:00,Boca Jrs.,Ferro,45,4-0,2022-08-09
1998-08-16,17:00:00,Boca Jrs.,Gimnasia (J),62,3-2,2022-08-16
1998-10-04,17:00:00,Boca Jrs.,Platense,51,2-0,2022-10-04
1999-03-21,17:00:00,Boca Jrs.,Argentinos Jrs.,8,1-0,2022-03-21
1999-03-21,17:49:00,Boca Jrs.,Argentinos Jrs.,57,3-0,2022-03-21
1999-03-28,17:00:00,Boca Jrs.,Gimnasia,58,1-1,2022-03-28
1999-04-01,17:00:00,Boca Jrs.,Huracan,58,1-0,2022-04-01
1999-05-02,17:00:00,Boca Jrs.,V�lez,58,3-0,2022-05-02
1999-05-15,17:00:00,Boca Jrs.,Estudiantes,86,1-0,2022-05-15
1999-06-13,17:00:00,Boca Jrs.,Lan�s,4,1-0,2022-06-13
1999-11-07,17:00:00,Boca Jrs.,Newell`s,19,2-0,2022-11-07
1999-12-12,17:00:00,Boca Jrs.,Belgrano,75,5-1,2022-12-12
2000-03-19,17:00:00,Boca Jrs.,Ferro,3,1-0,2022-03-19
2000-04-09,17:00:00,Boca Jrs.,San Lorenzo,21,1-0,2022-04-09
2000-05-09,17:00:00,Boca Jrs.,CD El Nacional,3,1-0,2022-05-09
2000-05-17,17:00:00,Boca Jrs.,River,31,1-1,2022-05-17
2000-05-24,17:00:00,Boca Jrs.,River,86,2-0,2022-05-24
2000-08-12,17:00:00,Boca Jrs.,Gimnasia,80,3-1,2022-08-12
2000-08-26,17:00:00,Boca Jrs.,Newell`s,6,1-0,2022-08-26
2000-10-22,17:00:00,Boca Jrs.,V�lez,46,2-0,2022-10-22
2000-10-22,17:08:00,Boca Jrs.,V�lez,54,3-0,2022-10-22
2000-11-19,17:00:00,Boca Jrs.,Talleres,45,1-0,2022-11-19
2001-02-13,17:00:00,Boca Jrs.,Uni�n,70,1-2,2022-02-13
2001-02-21,17:00:00,Boca Jrs.,Oriente Petrolero,56,2-0,2022-02-21
2001-03-25,17:00:00,Boca Jrs.,Huracan,67,1-0,2022-03-25
2001-04-08,17:00:00,Boca Jrs.,River,72,2-0,2022-04-08
2001-04-15,17:00:00,Boca Jrs.,Col�n,86,3-1,2022-04-15
2001-04-22,17:00:00,Boca Jrs.,Rosario Central,40,1-0,2022-04-22
2001-05-10,17:00:00,Boca Jrs.,Junior,65,2-2,2022-05-10
2001-06-13,17:00:00,Boca Jrs.,Palmeiras,17,0-2,2022-06-13
2001-09-23,17:00:00,Boca Jrs.,Lan�s,52,4-1,2022-09-23
2001-10-03,17:00:00,Boca Jrs.,Rosario Central,68,2-1,2022-10-03
2001-11-11,17:00:00,Boca Jrs.,Estudiantes,69,2-2,2022-11-11
2001-11-11,17:13:00,Boca Jrs.,Estudiantes,82,4-2,2022-11-11
2001-11-18,17:00:00,Boca Jrs.,Nueva Chicago,78,2-1,2022-11-18
2001-12-16,17:00:00,Boca Jrs.,Independiente,42,3-1,2022-12-16
2001-12-16,17:46:00,Boca Jrs.,Independiente,88,5-3,2022-12-16
2002-02-20,17:00:00,Boca Jrs.,Col�n,22,1-0,2022-02-20
2002-02-24,17:00:00,Boca Jrs.,Gimnasia,85,1-1,2022-02-24
2002-04-07,17:00:00,Boca Jrs.,Uni�n,60,3-0,2022-04-07
2002-08-14,17:00:00,Barcelona,Legia Varsovia,80,2-0,2022-08-14
2002-09-11,17:00:00,Barcelona,Novelda CF,68,2-2,2022-09-11
2002-10-29,17:00:00,Barcelona,Brujas,64,1-0,2022-10-29
2002-11-09,17:00:00,Barcelona,Villarreal,74,1-0,2022-11-09
2003-03-23,17:00:00,Barcelona,Racing,7,1-0,2022-03-23
2003-04-30,17:00:00,Argentina,Libia,70,2-1,2022-04-30
2003-05-25,17:00:00,Barcelona,Recreativo,84,3-0,2022-05-25
2003-09-14,17:00:00,Villarreal,Espanyol,91,2-1,2022-09-14
2003-09-28,17:00:00,Villarreal,Racing,87,2-0,2022-09-28
2003-11-06,17:00:00,Villarreal,Torpedo Moskva,51,1-0,2022-11-06
2003-11-06,17:00:00,Villarreal,Torpedo Moskva,68,2-0,2022-11-06
2003-12-13,17:00:00,Villarreal,Real Sociedad,9,1-0,2022-12-13
2004-01-04,17:00:00,Villarreal,Valencia,15,1-0,2022-01-04
2004-02-15,17:00:00,Villarreal,Racing,31,2-0,2022-02-15
2004-02-22,17:00:00,Villarreal,Real Zaragoza,62,1-3,2022-02-22
2004-02-26,17:00:00,Villarreal,Galatasaray,22,2-0,2022-02-26
2004-03-03,17:00:00,Villarreal,Galatasaray,89,3-0,2022-03-03
2004-03-21,17:00:00,Villarreal,Osasuna,79,1-2,2022-03-21
2004-05-16,17:00:00,Villarreal,Valencia,25,2-0,2022-05-16
2004-10-03,17:00:00,Villarreal,Real Zaragoza,41,1-0,2022-10-03
2004-10-24,17:00:00,Villarreal,Numancia,18,1-0,2022-10-24
2004-11-07,17:00:00,Villarreal,Osasuna,37,1-0,2022-11-07
2004-11-07,17:28:00,Villarreal,Osasuna,65,3-0,2022-11-07
2004-11-18,17:00:00,Argentina,Venezuela,45,2-1,2022-11-18
2004-12-19,17:00:00,Villarreal,M�laga,66,2-0,2022-12-19
2005-01-23,17:00:00,Villarreal,Valencia,19,1-0,2022-01-23
2005-01-23,17:26:00,Villarreal,Valencia,45,2-0,2022-01-23
2005-01-23,18:15:00,Villarreal,Valencia,94,3-1,2022-01-23
2005-01-30,17:00:00,Villarreal,Real Sociedad,75,2-0,2022-01-30
2005-02-06,17:00:00,Villarreal,Racing,66,2-1,2022-02-06
2005-02-13,17:00:00,Villarreal,Sevilla,86,1-2,2022-02-13
2005-03-06,17:00:00,Villarreal,Numancia,27,1-0,2022-03-06
2005-03-13,17:00:00,Villarreal,Espanyol,56,3-1,2022-03-13
2005-03-20,17:00:00,Villarreal,Steaua Bukarest,61,2-0,2022-03-20
2005-04-07,17:00:00,Villarreal,AZ Alkmaar,13,1-1,2022-04-07
2005-04-23,17:00:00,Villarreal,Real Madrid,39,1-0,2022-04-23
2005-05-08,17:00:00,Villarreal,M�laga,63,1-0,2022-05-08
2005-05-15,17:00:00,Villarreal,Albacete,67,1-0,2022-05-15
2005-06-08,17:00:00,Argentina,Brasil,18,2-0,2022-06-08
2005-06-18,17:00:00,Argentina,T�nez,33,1-0,2022-06-18
2005-06-18,17:00:00,Argentina,Australia,32,2-0,2022-06-18
2005-06-21,17:00:00,Argentina,Alemania,32,1-1,2022-06-21
2005-09-21,17:00:00,Villarreal,Celta,81,1-2,2022-09-21
2005-10-02,17:00:00,Villarreal,Athletic,44,1-1,2022-10-02
2005-10-09,17:00:00,Argentina,Per�,81,1-0,2022-10-09
2005-10-18,17:00:00,Villarreal,Benfica,72,1-0,2022-10-18
2005-10-23,17:00:00,Villarreal,Mallorca,14,1-0,2022-10-23
2005-10-26,17:00:00,Villarreal,Betis,69,3-2,2022-10-26
2005-11-16,17:00:00,Argentina,Qatar,70,1-0,2022-11-16
2005-11-27,17:00:00,Villarreal,RC Deportivo,55,1-0,2022-11-27
2005-12-10,17:00:00,Villarreal,Real Sociedad,72,3-1,2022-12-10
2005-12-18,17:00:00,Villarreal,Getafe,45,1-1,2022-12-18
2006-01-22,17:00:00,Villarreal,Osasuna,70,1-1,2022-01-22
2006-01-22,17:06:00,Villarreal,Osasuna,76,2-1,2022-01-22
2006-02-22,17:00:00,Villarreal,Rangers,8,1-0,2022-02-22
2006-03-05,17:00:00,Villarreal,Alav�s,20,1-1,2022-03-05
2006-03-05,17:44:00,Villarreal,Alav�s,64,2-2,2022-03-05
2006-05-13,17:00:00,Villarreal,Racing,31,1-0,2022-05-13
2006-09-24,17:00:00,Villarreal,Real Zaragoza,79,3-1,2022-09-24
2007-03-22,17:00:00,Boca Jrs.,Toluca,23,2-0,2022-03-22
2007-04-29,17:00:00,Boca Jrs.,Racing,56,1-1,2022-04-29
2007-05-02,17:00:00,Boca Jrs.,V�lez,9,1-0,2022-05-02
2007-05-09,17:00:00,Boca Jrs.,V�lez,32,1-1,2022-05-09
2007-05-13,17:00:00,Boca Jrs.,Arsenal,77,1-1,2022-05-13
2007-05-24,17:00:00,Boca Jrs.,Libertad,61,1-0,2022-05-24
2007-06-07,17:00:00,Boca Jrs.,C�cuta,44,1-0,2022-06-07
2007-06-14,17:00:00,Boca Jrs.,Gremio,73,2-0,2022-06-14
2007-06-20,17:00:00,Boca Jrs.,Gremio,69,1-0,2022-06-20
2007-06-20,17:12:00,Boca Jrs.,Gremio,81,2-0,2022-06-20
2007-07-03,17:00:00,Argentina,Colombia,34,2-1,2022-07-03
2007-07-03,17:11:00,Argentina,Colombia,45,3-1,2022-07-03
2007-07-09,17:00:00,Argentina,Per�,47,1-0,2022-07-09
2007-07-09,17:39:00,Argentina,Per�,86,4-0,2022-07-09
2007-07-12,17:00:00,Argentina,M�xico,65,3-0,2022-07-12
2007-10-13,17:00:00,Argentina,Chile,27,1-0,2022-10-13
2007-10-13,17:18:00,Argentina,Chile,45,2-0,2022-10-13
2007-11-17,17:00:00,Argentina,Bolivia,57,2-0,2022-11-17
2007-11-17,17:17:00,Argentina,Bolivia,74,3-0,2022-11-17
2008-03-09,17:00:00,Boca Jrs.,Independiente,54,1-1,2022-03-09
2008-04-23,17:00:00,Boca Jrs.,Maracaibo,75,3-0,2022-04-23
2008-04-30,17:00:00,Boca Jrs.,Cruzeiro,6,1-0,2022-04-30
2008-05-29,17:00:00,Boca Jrs.,Fluminense,11,1-0,2022-05-29
2008-05-29,17:53:00,Boca Jrs.,Fluminense,64,2-1,2022-05-29
2008-08-28,17:00:00,Boca Jrs.,Arsenal,93,2-2,2022-08-28
2008-11-03,17:00:00,Boca Jrs.,San Lorenzo,8,1-0,2022-11-03
2008-11-07,17:00:00,Boca Jrs.,Internacional,56,1-1,2022-11-07
2008-11-09,17:00:00,Boca Jrs.,Arsenal,90,0-1,2022-11-09
2008-11-30,17:00:00,Boca Jrs.,Racing,38,1-0,2022-11-30
2008-11-30,17:20:00,Boca Jrs.,Racing,58,2-1,2022-11-30
2008-12-14,17:00:00,Boca Jrs.,Col�n,13,2-0,2022-12-14
2009-03-19,17:00:00,Boca Jrs.,Guaran�,65,1-1,2022-03-19
2009-04-10,17:00:00,Boca Jrs.,Guaran�,84,3-1,2022-04-10
2009-10-05,17:00:00,Boca Jrs.,V�lez,64,2-2,2022-10-05
2010-02-01,17:00:00,Boca Jrs.,Argentinos Jrs.,85,2-1,2022-02-01
2010-04-12,17:00:00,Boca Jrs.,Arsenal,46,3-0,2022-04-12
2011-03-27,17:00:00,Boca Jrs.,Col�n,60,1-0,2022-03-27
2011-04-03,17:00:00,Boca Jrs.,Estudiantes,15,1-1,2022-04-03
2011-04-17,17:00:00,Boca Jrs.,Tigre,45,2-2,2022-04-17
2011-05-08,17:00:00,Boca Jrs.,Argentinos Jrs.,21,2-0,2022-05-08
2011-08-16,17:00:00,Boca Jrs.,Uni�n ,85,3-0,2022-08-16
2012-02-26,17:00:00,Boca Jrs.,Newell`s,80,2-0,2022-02-26
2012-03-11,17:00:00,Boca Jrs.,Independiente,45,3-2,2022-03-11
2012-03-26,17:00:00,Boca Jrs.,Lan�s,42,2-0,2022-03-26
2012-04-18,17:00:00,Boca Jrs.,Zamora FC,75,2-0,2022-04-18
2012-05-03,17:00:00,Boca Jrs.,Uni�n Espa�ola,25,1-0,2022-05-03
